,fecha,institution_id,logged_users
547,2018-04-01,1,731
548,2018-04-01,733,893
549,2018-04-01,541,542
550,2018-04-02,375,11
551,2018-04-02,738,87
552,2018-04-02,44,54
553,2018-04-02,715,1
554,2018-04-02,747,3414
555,2018-04-02,228,23
556,2018-04-02,748,319
557,2018-04-02,731,53
558,2018-04-02,749,21
559,2018-04-02,742,27
560,2018-04-02,603,109
561,2018-04-02,721,24
562,2018-04-02,687,27
563,2018-04-02,745,36
564,2018-04-03,18,14
565,2018-04-04,677,41
566,2018-04-04,735,10
567,2018-04-05,536,4
568,2018-04-05,115,10
569,2018-04-05,361,42
570,2018-04-06,752,80
571,2018-04-07,124,37
572,2018-04-08,739,2
573,2018-04-09,720,9
574,2018-04-09,308,1
575,2018-04-11,157,7
576,2018-04-12,5,2
577,2018-04-12,579,5
578,2018-04-14,524,21
579,2018-04-14,30,1
580,2018-04-15,17,2
581,2018-04-16,290,1
582,2018-04-16,741,2
583,2018-04-16,605,2
584,2018-04-24,754,3
585,2018-04-24,730,3
586,2018-04-25,13,1
587,2018-04-25,665,4
588,2018-04-25,14,1
589,2018-04-25,15,1
590,2018-04-26,753,1
591,2018-04-26,468,6
592,2018-04-26,664,2
593,2018-04-26,583,5
594,2018-04-26,24,6
595,2018-04-26,4,1
596,2018-05-01,44,52
597,2018-05-01,717,1042
598,2018-05-01,747,2435
599,2018-05-01,687,49
600,2018-05-01,48,371
601,2018-05-01,731,241
602,2018-05-01,18,16
603,2018-05-01,75,1385
604,2018-05-01,586,1243
605,2018-05-01,733,1099
606,2018-05-01,29,4855
607,2018-05-01,228,37
608,2018-05-01,708,918
609,2018-05-01,0,246
610,2018-05-01,541,741
611,2018-05-01,727,637
612,2018-05-01,745,83
613,2018-05-01,1,896
614,2018-05-01,653,308
615,2018-05-01,554,9180
616,2018-05-01,746,447
617,2018-05-01,677,141
618,2018-05-02,579,2
619,2018-05-02,730,178
620,2018-05-02,741,34
621,2018-05-02,748,44
622,2018-05-02,721,678
623,2018-05-02,749,53
624,2018-05-02,12,297
625,2018-05-02,603,528
626,2018-05-02,752,64
627,2018-05-02,738,18
628,2018-05-02,728,108
629,2018-05-03,5,1
630,2018-05-03,124,3
631,2018-05-03,43,12
