,id,name,city,collaborator_users,admin_users,classes_count,text_count,scorm_count,programs_count,created_tests_count,created_news_count,new_views_count,courses_count,finished_courses,answered_questions_count,correct_answers_count,incorrect_answers_count,likes_count,created_questions,created_questions,comments_count,attempts_count
124,889,Agricola Sutil,,1.0,1.0,156.0,146.0,,3.0,229.0,,,8.0,,,,,,,,,
125,890,freemium,,10.0,1.0,4.0,14.0,,3.0,21.0,3.0,3.0,4.0,,,,,,,,,
126,892,NTT Data,,390.0,4.0,167.0,686.0,20.0,9.0,1881.0,,,287.0,139.0,9003.0,5160.0,3238.0,,4790.0,4790.0,,1.0
127,893,Anglo American,,0.0,1.0,65.0,15.0,4.0,2.0,41.0,,,2.0,,,,,,,,,
128,894,Prueba Free Pau,,0.0,1.0,3.0,12.0,6.0,3.0,4.0,3.0,,3.0,1.0,,,,,2.0,2.0,,
129,895,Disal,,2.0,1.0,74.0,23.0,10.0,1.0,42.0,,,3.0,,,,,,,,,
130,896,Fundación Integra,,9.0,1.0,91.0,121.0,10.0,8.0,220.0,,,8.0,5.0,400.0,278.0,116.0,,,,,
131,897,Aza,,24.0,1.0,175.0,123.0,,9.0,201.0,,,9.0,,66.0,18.0,43.0,,,,,
132,898,Constructora CVP,,26.0,1.0,130.0,87.0,,4.0,144.0,,,7.0,7.0,126.0,60.0,60.0,,,,,
133,899,Grupo Los Lirios,,0.0,1.0,,,,,,,,,,,,,,,,,
134,900,Lepanto,,40.0,1.0,743.0,694.0,23.0,10.0,1234.0,,6.0,56.0,4.0,59.0,31.0,26.0,,,,,
135,901,Prosud,,11.0,1.0,40.0,24.0,,1.0,69.0,,,2.0,10.0,938.0,676.0,249.0,,,,,5.0
136,902,Gestor Inclusión,,67.0,1.0,233.0,545.0,,6.0,126.0,,,15.0,44.0,2815.0,2208.0,531.0,,197.0,197.0,,145.0
137,903,branding,,0.0,1.0,,,,,,,,,,,,,,,,,
138,904,Enami capacita a la mineria,,33.0,1.0,230.0,127.0,52.0,8.0,145.0,,,34.0,,79.0,30.0,48.0,,1.0,1.0,,
139,905,Fleischmann,,752.0,2.0,178.0,111.0,6.0,5.0,203.0,,,10.0,,16.0,4.0,12.0,,,,,
140,906,Cerp,,77.0,1.0,127.0,134.0,6.0,10.0,214.0,,,10.0,83.0,247.0,111.0,130.0,,,,,
141,908,Chiletransparente,,2.0,2.0,,9.0,15.0,1.0,13.0,,,3.0,2.0,51.0,34.0,16.0,,120.0,120.0,,
142,909,IP Chile,,0.0,1.0,,,,,,,,,,,,,,,,,
143,910,Metáfora,,764.0,3.0,122.0,1177.0,,7.0,,,,34.0,2.0,,,,,,,,
144,911,Compañía Minera del Pacifico,,59.0,1.0,109.0,114.0,,7.0,140.0,,,8.0,77.0,4559.0,2726.0,1756.0,5.0,,,,100.0
145,912,Fundación ConTrabajo,,88.0,4.0,53.0,161.0,,4.0,20.0,7.0,125.0,32.0,93.0,5196.0,3693.0,1503.0,16.0,412.0,412.0,1.0,32.0
146,914,Thyssenkrupp,,72.0,1.0,153.0,113.0,,7.0,153.0,,,7.0,33.0,2652.0,1606.0,984.0,,,,,
147,915,Clinica Cumbre Dental,,11.0,4.0,4.0,36.0,12.0,2.0,58.0,1.0,,2.0,11.0,650.0,463.0,177.0,,4.0,4.0,,
148,916,CasaIdeas,,0.0,1.0,,,,,,,,,,,,,,,,,
149,917,Envases de Pacifico S.A (EDELPA),,366.0,1.0,,,,1.0,,,,1.0,2.0,229.0,140.0,81.0,,26.0,26.0,,
150,918,Americar,,172.0,1.0,549.0,352.0,,24.0,588.0,,,25.0,24.0,1777.0,951.0,778.0,,,,,
151,920,Parques de Chile,,1.0,1.0,267.0,220.0,4.0,4.0,420.0,,,19.0,,1.0,0.0,1.0,,1.0,1.0,,
152,921,starbucks,,1.0,9.0,34.0,31.0,4.0,4.0,4.0,,,12.0,1.0,12.0,9.0,2.0,,4.0,4.0,,4.0
153,922,QA-Enami,,3.0,1.0,,,,,,,,,,,,,,,,,
154,923,Intelcia,,51.0,2.0,93.0,83.0,6.0,7.0,185.0,,,7.0,38.0,1666.0,1035.0,605.0,,1.0,1.0,,
155,924,Academia Fundación las Rosas,,1.0,1.0,35.0,,,2.0,8.0,,,10.0,,,,,,,,,
156,925,dimak,,45.0,1.0,32.0,90.0,16.0,6.0,81.0,,,6.0,24.0,2080.0,1383.0,663.0,,,,,
157,926,agricovial,,0.0,2.0,,,,,,,,,,,,,,,,,
